ISO3,year,area,population
GRC,2028,total,10848000
VAT,2028,total,1000
ITA,2028,total,58318000
MLT,2028,total,440000
MNE,2028,total,627000
PRT,2028,total,9946000
SMR,2028,total,35000
SRB,2028,total,8433000
SVN,2028,total,2067000
ESP,2028,total,46196000
MKD,2028,total,2083000
AUT,2028,total,8924000
BEL,2028,total,11930000
FRA,2028,total,67481000
DEU,2028,total,82310000
LIE,2028,total,40000
LUX,2028,total,662000
MCO,2028,total,41000
NLD,2028,total,17531000
CHE,2028,total,9108000
AIA,2028,total,16000
ATG,2028,total,113000
ABW,2028,total,109000
BHS,2028,total,434000
BRB,2028,total,290000
VGB,2028,total,35000
BES,2028,total,28000
CYM,2028,total,70000
CUB,2028,total,11510000
CUW,2028,total,170000
DMA,2028,total,77000
DOM,2028,total,11920000
GRD,2028,total,112000
GLP,2028,total,447000
HTI,2028,total,12328000
JAM,2028,total,2936000
MTQ,2028,total,383000
MSR,2028,total,6000
PRI,2028,total,3607000
KNA,2028,total,60000
LCA,2028,total,186000
VCT,2028,total,112000
SXM,2028,total,45000
TTO,2028,total,1378000
TCA,2028,total,41000
VIR,2028,total,102000
BLZ,2028,total,459000
CRI,2028,total,5353000
SLV,2028,total,6732000
GTM,2028,total,20557000
HND,2028,total,10877000
MEX,2028,total,145083000
NIC,2028,total,6924000
PAN,2028,total,4771000
ARG,2028,total,48602000
BOL,2028,total,12841000
BRA,2028,total,223598000
CHL,2028,total,19435000
COL,2028,total,52665000
ECU,2028,total,19133000
FLK,2028,total,3000
GUF,2028,total,364000
GUY,2028,total,820000
PRY,2028,total,7700000
PER,2028,total,36156000
SUR,2028,total,610000
URY,2028,total,3577000
VEN,2028,total,36087000
BMU,2028,total,60000
CAN,2028,total,40058000
GRL,2028,total,57000
SPM,2028,total,7000
USA,2028,total,350231000
AUS,2028,total,27694000
NZL,2028,total,5143000
FJI,2028,total,963000
NCL,2028,total,315000
PNG,2028,total,10137000
SLB,2028,total,747000
VUT,2028,total,342000
GUM,2028,total,179000
KIR,2028,total,138000
MHL,2028,total,55000
FSM,2028,total,115000
NRU,2028,total,11000
MNP,2028,total,56000
PLW,2028,total,25000
ASM,2028,total,57000
COK,2028,total,18000
PYF,2028,total,303000
NIU,2028,total,2000
WSM,2028,total,209000
TKL,2028,total,1000
TON,2028,total,119000
TUV,2028,total,13000
WLF,2028,total,11000
BDI,2029,total,15388000
COM,2029,total,1042000
DJI,2029,total,1121000
ERI,2029,total,6582000
ETH,2029,total,136921000
KEN,2029,total,65558000
MDG,2029,total,34755000
MWI,2029,total,25898000
MUS,2029,total,1287000
MYT,2029,total,336000
MOZ,2029,total,41334000
REU,2029,total,951000
RWA,2029,total,15725000
SYC,2029,total,98000
SOM,2029,total,20938000
SSD,2029,total,16877000
UGA,2029,total,62025000
TZA,2029,total,81406000
ZMB,2029,total,24180000
ZWE,2029,total,21129000
AGO,2029,total,43402000
CMR,2029,total,32230000
CAF,2029,total,5993000
TCD,2029,total,20909000
COG,2029,total,7139000
COD,2029,total,117076000
GNQ,2029,total,1824000
GAB,2029,total,2549000
STP,2029,total,263000
DZA,2029,total,48347000
EGY,2029,total,118082000
LBY,2029,total,7285000
MAR,2029,total,40539000
SDN,2029,total,53647000
TUN,2029,total,12768000
ESH,2029,total,723000
BWA,2029,total,2764000
LSO,2029,total,2579000
NAM,2029,total,3190000
ZAF,2029,total,63955000
SWZ,2029,total,1645000
BEN,2029,total,15255000
BFA,2029,total,26680000
CPV,2029,total,629000
CIV,2029,total,32561000
GMB,2029,total,2926000
GHA,2029,total,36621000
GIN,2029,total,17216000
GNB,2029,total,2441000
LBR,2029,total,6346000
MLI,2029,total,26311000
MRT,2029,total,5943000
NER,2029,total,33735000
NGA,2029,total,257759000
SHN,2029,total,4000
SEN,2029,total,21599000
SLE,2029,total,9549000
TGO,2029,total,10283000
CHN,2029,total,1441574000
HKG,2029,total,7948000
MAC,2029,total,738000
TWN,2029,total,24141000
PRK,2029,total,26678000
JPN,2029,total,122160000
MNG,2029,total,3531000
KOR,2029,total,52631000
KAZ,2029,total,20169000
KGZ,2029,total,6935000
TJK,2029,total,11029000
TKM,2029,total,6704000
UZB,2029,total,36421000
AFG,2029,total,45842000
BGD,2029,total,184224000
BTN,2029,total,907000
IND,2029,total,1501463000
IRN,2029,total,88492000
MDV,2029,total,508000
NPL,2029,total,32918000
PAK,2029,total,240813000
LKA,2029,total,21459000
BRN,2029,total,486000
KHM,2029,total,18607000
IDN,2029,total,293560000
LAO,2029,total,7969000
MYS,2029,total,36464000
MMR,2029,total,58562000
PHL,2029,total,123859000
SGP,2029,total,6309000
THA,2029,total,69666000
TLS,2029,total,1669000
VNM,2029,total,105652000
ARM,2029,total,2915000
AZE,2029,total,10638000
BHR,2029,total,1986000
CYP,2029,total,1275000
GEO,2029,total,3765000
IRQ,2029,total,52044000
ISR,2029,total,9856000
JOR,2029,total,11002000
KWT,2029,total,4822000
LBN,2029,total,5397000
OMN,2029,total,5839000
QAT,2029,total,3194000
SAU,2029,total,39070000
PSE,2029,total,6595000
SYR,2029,total,26073000
TUR,2029,total,87930000
ARE,2029,total,10933000
YEM,2029,total,36172000
BLR,2029,total,9196000
BGR,2029,total,6485000
CZE,2029,total,10549000
HUN,2029,total,9278000
POL,2029,total,36781000
MDA,2029,total,3866000
ROU,2029,total,18559000
RUS,2029,total,141007000
SVK,2029,total,5401000
UKR,2029,total,41459000
CHI,2029,total,174000
DNK,2029,total,6003000
EST,2029,total,1259000
FRO,2029,total,52000
FIN,2029,total,5727000
ISL,2029,total,363000
IRL,2029,total,5189000
IMN,2029,total,91000
LVA,2029,total,1760000
LTU,2029,total,2733000
NOR,2029,total,5910000
SWE,2029,total,10661000
GBR,2029,total,70295000
ALB,2029,total,2938000
AND,2029,total,79000
BIH,2029,total,3416000
HRV,2029,total,3916000
GIB,2029,total,36000
GRC,2029,total,10815000
VAT,2029,total,1000
ITA,2029,total,58216000
MLT,2029,total,441000
MNE,2029,total,625000
PRT,2029,total,9912000
SMR,2029,total,35000
SRB,2029,total,8395000
SVN,2029,total,2064000
ESP,2029,total,46157000
MKD,2029,total,2080000
AUT,2029,total,8935000
BEL,2029,total,11966000
FRA,2029,total,67689000
DEU,2029,total,82253000
LIE,2029,total,40000
LUX,2029,total,668000
MCO,2029,total,41000
NLD,2029,total,17564000
CHE,2029,total,9158000
AIA,2029,total,16000
ATG,2029,total,114000
ABW,2029,total,109000
BHS,2029,total,438000
BRB,2029,total,290000
VGB,2029,total,35000
BES,2029,total,28000
CYM,2029,total,70000
CUB,2029,total,11504000
CUW,2029,total,171000
DMA,2029,total,77000
DOM,2029,total,12010000
GRD,2029,total,112000
GLP,2029,total,448000
HTI,2029,total,12437000
JAM,2029,total,2935000
MTQ,2029,total,382000
MSR,2029,total,6000
PRI,2029,total,3600000
KNA,2029,total,60000
LCA,2029,total,187000
VCT,2029,total,112000
SXM,2029,total,46000
TTO,2029,total,1375000
TCA,2029,total,41000
VIR,2029,total,102000
BLZ,2029,total,466000
CRI,2029,total,5386000
SLV,2029,total,6760000
GTM,2029,total,20881000
HND,2029,total,11013000
MEX,2029,total,146329000
NIC,2029,total,6986000
PAN,2029,total,4828000
ARG,2029,total,48965000
BOL,2029,total,13001000
BRA,2029,total,224563000
CHL,2029,total,19538000
COL,2029,total,52907000
ECU,2029,total,19345000
FLK,2029,total,3000
GUF,2029,total,371000
GUY,2029,total,823000
PRY,2029,total,7773000
PER,2029,total,36486000
SUR,2029,total,613000
URY,2029,total,3586000
VEN,2029,total,36423000
BMU,2029,total,59000
CAN,2029,total,40341000
GRL,2029,total,57000
SPM,2029,total,7000
USA,2029,total,352494000
AUS,2029,total,27966000
NZL,2029,total,5179000
FJI,2029,total,967000
NCL,2029,total,318000
PNG,2029,total,10312000
SLB,2029,total,760000
VUT,2029,total,347000
GUM,2029,total,180000
KIR,2029,total,140000
MHL,2029,total,56000
FSM,2029,total,117000
NRU,2029,total,11000
MNP,2029,total,57000
PLW,2029,total,25000
ASM,2029,total,57000
COK,2029,total,18000
PYF,2029,total,305000
NIU,2029,total,2000
WSM,2029,total,210000
TKL,2029,total,1000
TON,2029,total,120000
TUV,2029,total,13000
WLF,2029,total,11000
BDI,2030,total,15799000
COM,2030,total,1061000
DJI,2030,total,1133000
ERI,2030,total,6718000
ETH,2030,total,139620000
KEN,2030,total,66960000
MDG,2030,total,35592000
MWI,2030,total,26578000
MUS,2030,total,1287000
MYT,2030,total,344000
MOZ,2030,total,42438000
REU,2030,total,957000
RWA,2030,total,16024000
SYC,2030,total,98000
SOM,2030,total,21535000
SSD,2030,total,17255000
UGA,2030,total,63842000
TZA,2030,total,83702000
ZMB,2030,total,24860000
ZWE,2030,total,21527000
AGO,2030,total,44712000
CMR,2030,total,32980000
CAF,2030,total,6124000
TCD,2030,total,21460000
COG,2030,total,7319000
COD,2030,total,120442000
GNQ,2030,total,1872000
GAB,2030,total,2593000
STP,2030,total,269000
DZA,2030,total,48822000
EGY,2030,total,119745000
LBY,2030,total,7342000
MAR,2030,total,40874000
SDN,2030,total,54842000
TUN,2030,total,12841000
ESH,2030,total,737000
BWA,2030,total,2800000
LSO,2030,total,2608000
NAM,2030,total,3246000
ZAF,2030,total,64465000
SWZ,2030,total,1666000
BEN,2030,total,15629000
BFA,2030,total,27382000
CPV,2030,total,635000
CIV,2030,total,33337000
GMB,2030,total,3e+06
GHA,2030,total,37294000
GIN,2030,total,17631000
GNB,2030,total,2493000
LBR,2030,total,6496000
MLI,2030,total,27057000
MRT,2030,total,6077000
NER,2030,total,34993000
NGA,2030,total,264068000
SHN,2030,total,4000
SEN,2030,total,22124000
SLE,2030,total,9720000
TGO,2030,total,10507000
CHN,2030,total,1441181000
HKG,2030,total,7987000
MAC,2030,total,746000
TWN,2030,total,24151000
PRK,2030,total,26744000
JPN,2030,total,121580000
MNG,2030,total,3561000
KOR,2030,total,52701000
KAZ,2030,total,20302000
KGZ,2030,total,6998000
TJK,2030,total,11194000
TKM,2030,total,6768000
UZB,2030,total,36712000
AFG,2030,total,46700000
BGD,2030,total,185585000
BTN,2030,total,914000
IND,2030,total,1512985000
IRN,2030,total,88863000
MDV,2030,total,512000
NPL,2030,total,33168000
PAK,2030,total,244249000
LKA,2030,total,21475000
BRN,2030,total,490000
KHM,2030,total,18798000
IDN,2030,total,295595000
LAO,2030,total,8049000
MYS,2030,total,36815000
MMR,2030,total,58916000
PHL,2030,total,125372000
SGP,2030,total,6342000
THA,2030,total,69627000
TLS,2030,total,1704000
VNM,2030,total,106284000
ARM,2030,total,2908000
AZE,2030,total,10680000
BHR,2030,total,2013000
CYP,2030,total,1282000
GEO,2030,total,3748000
IRQ,2030,total,53298000
ISR,2030,total,9983000
JOR,2030,total,11122000
KWT,2030,total,4874000
LBN,2030,total,5368000
OMN,2030,total,5897000
QAT,2030,total,3232000
SAU,2030,total,39480000
PSE,2030,total,6739000
SYR,2030,total,26608000
TUR,2030,total,88416000
ARE,2030,total,11054000
YEM,2030,total,36815000
BLR,2030,total,9163000
BGR,2030,total,6431000
CZE,2030,total,10528000
HUN,2030,total,9236000
POL,2030,total,36616000
MDA,2030,total,3844000
ROU,2030,total,18464000
RUS,2030,total,140543000
SVK,2030,total,5388000
UKR,2030,total,41201000
CHI,2030,total,174000
DNK,2030,total,6025000
EST,2030,total,1253000
FRO,2030,total,52000
FIN,2030,total,5739000
ISL,2030,total,365000
IRL,2030,total,5220000
IMN,2030,total,90000
LVA,2030,total,1747000
LTU,2030,total,2718000
NOR,2030,total,5959000
SWE,2030,total,10712000
GBR,2030,total,70579000
ALB,2030,total,2933000
AND,2030,total,79000
BIH,2030,total,3405000
HRV,2030,total,3896000
GIB,2030,total,36000
GRC,2030,total,10784000
VAT,2030,total,1000
ITA,2030,total,58110000
MLT,2030,total,440000
MNE,2030,total,625000
PRT,2030,total,9877000
SMR,2030,total,35000
SRB,2030,total,8355000
SVN,2030,total,2059000
ESP,2030,total,46115000
MKD,2030,total,2076000
AUT,2030,total,8946000
BEL,2030,total,12001000
FRA,2030,total,67895000
DEU,2030,total,82187000
LIE,2030,total,41000
LUX,2030,total,675000
MCO,2030,total,41000
NLD,2030,total,17595000
CHE,2030,total,9204000
AIA,2030,total,16000
ATG,2030,total,114000
ABW,2030,total,109000
BHS,2030,total,440000
BRB,2030,total,290000
VGB,2030,total,36000
BES,2030,total,28000
CYM,2030,total,71000
CUB,2030,total,11496000
CUW,2030,total,172000
DMA,2030,total,78000
DOM,2030,total,12098000
GRD,2030,total,112000
GLP,2030,total,448000
HTI,2030,total,12544000
JAM,2030,total,2933000
MTQ,2030,total,382000
MSR,2030,total,6000
PRI,2030,total,3592000
KNA,2030,total,61000
LCA,2030,total,186000
VCT,2030,total,112000
SXM,2030,total,46000
TTO,2030,total,1374000
TCA,2030,total,42000
VIR,2030,total,102000
BLZ,2030,total,473000
CRI,2030,total,5417000
SLV,2030,total,6786000
GTM,2030,total,21202000
HND,2030,total,11148000
MEX,2030,total,147540000
NIC,2030,total,7046000
PAN,2030,total,4885000
ARG,2030,total,49324000
BOL,2030,total,13158000
BRA,2030,total,225472000
CHL,2030,total,19638000
COL,2030,total,53134000
ECU,2030,total,19554000
FLK,2030,total,3000
GUF,2030,total,380000
GUY,2030,total,825000
PRY,2030,total,7845000
PER,2030,total,36807000
SUR,2030,total,617000
URY,2030,total,3594000
VEN,2030,total,36750000
BMU,2030,total,59000
CAN,2030,total,40618000
GRL,2030,total,57000
SPM,2030,total,7000
USA,2030,total,354712000
AUS,2030,total,28235000
NZL,2030,total,5213000
FJI,2030,total,970000
NCL,2030,total,321000
PNG,2030,total,10487000
SLB,2030,total,773000
VUT,2030,total,354000
GUM,2030,total,181000
KIR,2030,total,142000
MHL,2030,total,56000
FSM,2030,total,117000
NRU,2030,total,11000
MNP,2030,total,57000
PLW,2030,total,25000
ASM,2030,total,57000
COK,2030,total,18000
PYF,2030,total,307000
NIU,2030,total,2000
WSM,2030,total,212000
TKL,2030,total,1000
TON,2030,total,121000
TUV,2030,total,13000
WLF,2030,total,11000
BDI,2031,total,16217000
COM,2031,total,1081000
DJI,2031,total,1145000
ERI,2031,total,6855000
ETH,2031,total,142318000
KEN,2031,total,68371000
MDG,2031,total,36437000
MWI,2031,total,27268000
MUS,2031,total,1286000
MYT,2031,total,351000
MOZ,2031,total,43563000
REU,2031,total,962000
RWA,2031,total,16325000
SYC,2031,total,98000
SOM,2031,total,22145000
SSD,2031,total,17634000
UGA,2031,total,65692000
TZA,2031,total,86044000
ZMB,2031,total,25551000
ZWE,2031,total,21927000
AGO,2031,total,46050000
CMR,2031,total,33740000
CAF,2031,total,6257000
TCD,2031,total,22018000
COG,2031,total,7504000
COD,2031,total,123870000
GNQ,2031,total,1917000
GAB,2031,total,2639000
STP,2031,total,274000
DZA,2031,total,49286000
EGY,2031,total,121422000
LBY,2031,total,7398000
MAR,2031,total,41199000
SDN,2031,total,56052000
TUN,2031,total,12911000
ESH,2031,total,750000
BWA,2031,total,2836000
LSO,2031,total,2637000
NAM,2031,total,3301000
ZAF,2031,total,64967000
SWZ,2031,total,1688000
BEN,2031,total,16007000
BFA,2031,total,28096000
CPV,2031,total,642000
CIV,2031,total,34126000
GMB,2031,total,3076000
GHA,2031,total,37972000
GIN,2031,total,18052000
GNB,2031,total,2544000
LBR,2031,total,6647000
MLI,2031,total,27816000
MRT,2031,total,6212000
NER,2031,total,36291000
NGA,2031,total,270493000
SHN,2031,total,4000
SEN,2031,total,22655000
SLE,2031,total,9890000
TGO,2031,total,10734000
CHN,2031,total,1440392000
HKG,2031,total,8022000
MAC,2031,total,754000
TWN,2031,total,24155000
PRK,2031,total,26803000
JPN,2031,total,120987000
MNG,2031,total,3590000
KOR,2031,total,52758000
KAZ,2031,total,20432000
KGZ,2031,total,7059000
TJK,2031,total,11360000
TKM,2031,total,6830000
UZB,2031,total,36996000
AFG,2031,total,47552000
BGD,2031,total,186894000
BTN,2031,total,920000
IND,2031,total,1524124000
IRN,2031,total,89214000
MDV,2031,total,516000
NPL,2031,total,33406000
PAK,2031,total,247659000
LKA,2031,total,21486000
BRN,2031,total,493000
KHM,2031,total,18987000
IDN,2031,total,297565000
LAO,2031,total,8127000
MYS,2031,total,37153000
MMR,2031,total,59253000
PHL,2031,total,126868000
SGP,2031,total,6374000
THA,2031,total,69572000
TLS,2031,total,1738000
VNM,2031,total,106881000
ARM,2031,total,2900000
AZE,2031,total,10721000
BHR,2031,total,2038000
CYP,2031,total,1289000
GEO,2031,total,3732000
IRQ,2031,total,54569000
ISR,2031,total,10112000
JOR,2031,total,11249000
KWT,2031,total,4924000
LBN,2031,total,5348000
OMN,2031,total,5949000
QAT,2031,total,3269000
SAU,2031,total,39876000
PSE,2031,total,6884000
SYR,2031,total,27121000
TUR,2031,total,88912000
ARE,2031,total,11175000
YEM,2031,total,37453000
BLR,2031,total,9130000
BGR,2031,total,6376000
CZE,2031,total,10504000
HUN,2031,total,9191000
POL,2031,total,36443000
MDA,2031,total,3821000
ROU,2031,total,18369000
RUS,2031,total,140063000
SVK,2031,total,5373000
UKR,2031,total,40941000
CHI,2031,total,175000
DNK,2031,total,6044000
EST,2031,total,1247000
FRO,2031,total,53000
FIN,2031,total,5751000
ISL,2031,total,367000
IRL,2031,total,5250000
IMN,2031,total,91000
LVA,2031,total,1734000
LTU,2031,total,2703000
NOR,2031,total,6008000
SWE,2031,total,10761000
GBR,2031,total,70855000
ALB,2031,total,2928000
AND,2031,total,78000
BIH,2031,total,3393000
HRV,2031,total,3875000
GIB,2031,total,36000
GRC,2031,total,10752000
VAT,2031,total,1000
ITA,2031,total,58001000
MLT,2031,total,440000
MNE,2031,total,624000
PRT,2031,total,9842000
SMR,2031,total,35000
SRB,2031,total,8315000
SVN,2031,total,2055000
ESP,2031,total,46069000
MKD,2031,total,2073000
AUT,2031,total,8955000
BEL,2031,total,12035000
FRA,2031,total,68096000
DEU,2031,total,82110000
LIE,2031,total,41000
LUX,2031,total,681000
MCO,2031,total,42000
NLD,2031,total,17621000
CHE,2031,total,9249000
AIA,2031,total,16000
ATG,2031,total,116000
ABW,2031,total,110000
BHS,2031,total,443000
BRB,2031,total,290000
VGB,2031,total,36000
BES,2031,total,29000
CYM,2031,total,72000
CUB,2031,total,11485000
CUW,2031,total,173000
DMA,2031,total,78000
DOM,2031,total,12184000
GRD,2031,total,112000
GLP,2031,total,448000
HTI,2031,total,12648000
JAM,2031,total,2930000
MTQ,2031,total,381000
MSR,2031,total,6000
PRI,2031,total,3584000
KNA,2031,total,61000
LCA,2031,total,186000
VCT,2031,total,112000
SXM,2031,total,46000
TTO,2031,total,1372000
TCA,2031,total,42000
VIR,2031,total,101000
BLZ,2031,total,480000
CRI,2031,total,5448000
SLV,2031,total,6810000
GTM,2031,total,21522000
HND,2031,total,11279000
MEX,2031,total,148716000
NIC,2031,total,7104000
PAN,2031,total,4939000
ARG,2031,total,49676000
BOL,2031,total,13314000
BRA,2031,total,226327000
CHL,2031,total,19731000
COL,2031,total,53347000
ECU,2031,total,19761000
FLK,2031,total,3000
GUF,2031,total,387000
GUY,2031,total,827000
PRY,2031,total,7914000
PER,2031,total,37121000
SUR,2031,total,620000
URY,2031,total,3602000
VEN,2031,total,37069000
BMU,2031,total,59000
CAN,2031,total,40886000
GRL,2031,total,57000
SPM,2031,total,7000
USA,2031,total,356879000
AUS,2031,total,28500000
NZL,2031,total,5247000
FJI,2031,total,974000
NCL,2031,total,324000
PNG,2031,total,10662000
SLB,2031,total,786000
VUT,2031,total,361000
GUM,2031,total,182000
KIR,2031,total,143000
MHL,2031,total,56000
FSM,2031,total,119000
NRU,2031,total,11000
MNP,2031,total,57000
PLW,2031,total,25000
ASM,2031,total,57000
COK,2031,total,18000
PYF,2031,total,309000
NIU,2031,total,2000
WSM,2031,total,214000
TKL,2031,total,1000
TON,2031,total,122000
TUV,2031,total,13000
WLF,2031,total,11000
BDI,2032,total,16641000
COM,2032,total,1101000
DJI,2032,total,1156000
ERI,2032,total,6994000
ETH,2032,total,145010000
KEN,2032,total,69791000
MDG,2032,total,37289000
MWI,2032,total,27966000
MUS,2032,total,1286000
MYT,2032,total,359000
MOZ,2032,total,44706000
REU,2032,total,967000
RWA,2032,total,16628000
SYC,2032,total,98000
SOM,2032,total,22766000
SSD,2032,total,18017000
UGA,2032,total,67571000
TZA,2032,total,88433000
ZMB,2032,total,26255000
ZWE,2032,total,22331000
AGO,2032,total,47414000
CMR,2032,total,34511000
CAF,2032,total,6390000
TCD,2032,total,22584000
COG,2032,total,7692000
COD,2032,total,127358000
GNQ,2032,total,1964000
GAB,2032,total,2683000
STP,2032,total,280000
DZA,2032,total,49741000
EGY,2032,total,123110000
LBY,2032,total,7452000
MAR,2032,total,41515000
SDN,2032,total,57272000
TUN,2032,total,12977000
ESH,2032,total,763000
BWA,2032,total,2872000
LSO,2032,total,2665000
NAM,2032,total,3356000
ZAF,2032,total,65459000
SWZ,2032,total,1710000
BEN,2032,total,16391000
BFA,2032,total,28819000
CPV,2032,total,648000
CIV,2032,total,34928000
GMB,2032,total,3152000
GHA,2032,total,38653000
GIN,2032,total,18479000
GNB,2032,total,2597000
LBR,2032,total,6800000
MLI,2032,total,28590000
MRT,2032,total,6349000
NER,2032,total,37628000
NGA,2032,total,277034000
SHN,2032,total,4000
SEN,2032,total,23195000
SLE,2032,total,10059000
TGO,2032,total,10963000
CHN,2032,total,1439215000
HKG,2032,total,8053000
MAC,2032,total,762000
TWN,2032,total,24153000
PRK,2032,total,26856000
JPN,2032,total,120382000
MNG,2032,total,3618000
KOR,2032,total,52798000
KAZ,2032,total,20562000
KGZ,2032,total,7120000
TJK,2032,total,11524000
TKM,2032,total,6892000
UZB,2032,total,37273000
AFG,2032,total,48400000
BGD,2032,total,188151000
BTN,2032,total,926000
IND,2032,total,1534869000
IRN,2032,total,89548000
MDV,2032,total,520000
NPL,2032,total,33633000
PAK,2032,total,251045000
LKA,2032,total,21494000
BRN,2032,total,497000
KHM,2032,total,19175000
IDN,2032,total,299468000
LAO,2032,total,8202000
MYS,2032,total,37478000
MMR,2032,total,59575000
PHL,2032,total,128347000
SGP,2032,total,6404000
THA,2032,total,69504000
TLS,2032,total,1774000
VNM,2032,total,107446000
ARM,2032,total,2892000
AZE,2032,total,10758000
BHR,2032,total,2062000
CYP,2032,total,1295000
GEO,2032,total,3714000
IRQ,2032,total,55856000
ISR,2032,total,10240000
JOR,2032,total,11387000
KWT,2032,total,4972000
LBN,2032,total,5335000
OMN,2032,total,5997000
QAT,2032,total,3304000
SAU,2032,total,40260000
PSE,2032,total,7030000
SYR,2032,total,27598000
TUR,2032,total,89421000
ARE,2032,total,11293000
YEM,2032,total,38087000
BLR,2032,total,9096000
BGR,2032,total,6322000
CZE,2032,total,10479000
HUN,2032,total,9146000
POL,2032,total,36263000
MDA,2032,total,3798000
ROU,2032,total,18272000
RUS,2032,total,139569000
SVK,2032,total,5356000
UKR,2032,total,40678000
CHI,2032,total,175000
DNK,2032,total,6064000
EST,2032,total,1243000
FRO,2032,total,53000
FIN,2032,total,5760000
ISL,2032,total,369000
IRL,2032,total,5282000
IMN,2032,total,91000
LVA,2032,total,1721000
LTU,2032,total,2687000
NOR,2032,total,6055000
SWE,2032,total,10808000
GBR,2032,total,71123000
ALB,2032,total,2922000
AND,2032,total,78000
BIH,2032,total,3379000
HRV,2032,total,3853000
GIB,2032,total,36000
GRC,2032,total,10721000
VAT,2032,total,1000
ITA,2032,total,57889000
MLT,2032,total,439000
MNE,2032,total,622000
PRT,2032,total,9806000
SMR,2032,total,35000
SRB,2032,total,8274000
SVN,2032,total,2050000
ESP,2032,total,46020000
MKD,2032,total,2068000
AUT,2032,total,8961000
BEL,2032,total,12068000
FRA,2032,total,68295000
DEU,2032,total,82026000
LIE,2032,total,42000
LUX,2032,total,688000
MCO,2032,total,42000
NLD,2032,total,17645000
CHE,2032,total,9292000
AIA,2032,total,16000
ATG,2032,total,116000
ABW,2032,total,109000
BHS,2032,total,445000
BRB,2032,total,290000
VGB,2032,total,36000
BES,2032,total,29000
CYM,2032,total,72000
CUB,2032,total,11470000
CUW,2032,total,173000
DMA,2032,total,78000
DOM,2032,total,12265000
GRD,2032,total,112000
GLP,2032,total,448000
HTI,2032,total,12749000
JAM,2032,total,2926000
MTQ,2032,total,381000
MSR,2032,total,6000
PRI,2032,total,3576000
KNA,2032,total,61000
LCA,2032,total,187000
VCT,2032,total,112000
SXM,2032,total,47000
TTO,2032,total,1369000
TCA,2032,total,42000
VIR,2032,total,101000
BLZ,2032,total,487000
CRI,2032,total,5476000
SLV,2032,total,6830000
GTM,2032,total,21839000
HND,2032,total,11408000
MEX,2032,total,149855000
NIC,2032,total,7161000
PAN,2032,total,4994000
ARG,2032,total,50023000
BOL,2032,total,13469000
BRA,2032,total,227126000
CHL,2032,total,19820000
COL,2032,total,53545000
ECU,2032,total,19964000
FLK,2032,total,3000
GUF,2032,total,395000
GUY,2032,total,829000
PRY,2032,total,7982000
PER,2032,total,37426000
SUR,2032,total,623000
URY,2032,total,3610000
VEN,2032,total,37380000
BMU,2032,total,59000
CAN,2032,total,41146000
GRL,2032,total,57000
SPM,2032,total,7000
USA,2032,total,358997000
AUS,2032,total,28761000
NZL,2032,total,5279000
FJI,2032,total,977000
NCL,2032,total,328000
PNG,2032,total,10837000
SLB,2032,total,798000
VUT,2032,total,366000
GUM,2032,total,183000
KIR,2032,total,145000
MHL,2032,total,56000
FSM,2032,total,119000
NRU,2032,total,11000
MNP,2032,total,57000
PLW,2032,total,26000
ASM,2032,total,58000
COK,2032,total,18000
PYF,2032,total,310000
NIU,2032,total,2000
WSM,2032,total,215000
TKL,2032,total,1000
TON,2032,total,123000
TUV,2032,total,13000
WLF,2032,total,11000
BDI,2033,total,17076000
COM,2033,total,1121000
DJI,2033,total,1168000
ERI,2033,total,7136000
ETH,2033,total,147696000
KEN,2033,total,71217000
MDG,2033,total,38149000
MWI,2033,total,28672000
MUS,2033,total,1285000
MYT,2033,total,367000
MOZ,2033,total,45868000
REU,2033,total,972000
RWA,2033,total,16932000
SYC,2033,total,98000
SOM,2033,total,23400000
SSD,2033,total,18402000
UGA,2033,total,69481000
TZA,2033,total,90867000
ZMB,2033,total,26972000
ZWE,2033,total,22737000
AGO,2033,total,48805000
CMR,2033,total,35292000
CAF,2033,total,6525000
TCD,2033,total,23156000
COG,2033,total,7883000
COD,2033,total,130902000
GNQ,2033,total,2011000
GAB,2033,total,2729000
STP,2033,total,285000
DZA,2033,total,50189000
EGY,2033,total,124813000
LBY,2033,total,7505000
MAR,2033,total,41822000
SDN,2033,total,58504000
TUN,2033,total,13041000
ESH,2033,total,777000
BWA,2033,total,2906000
LSO,2033,total,2694000
NAM,2033,total,3411000
ZAF,2033,total,65942000
SWZ,2033,total,1732000
BEN,2033,total,16779000
BFA,2033,total,29553000
CPV,2033,total,654000
CIV,2033,total,35743000
GMB,2033,total,3228000
GHA,2033,total,39338000
GIN,2033,total,18910000
GNB,2033,total,2649000
LBR,2033,total,6956000
MLI,2033,total,29376000
MRT,2033,total,6487000
NER,2033,total,39004000
NGA,2033,total,283687000
SHN,2033,total,4000
SEN,2033,total,23743000
SLE,2033,total,10229000
TGO,2033,total,11194000
CHN,2033,total,1437667000
HKG,2033,total,8081000
MAC,2033,total,769000
TWN,2033,total,24144000
PRK,2033,total,26902000
JPN,2033,total,119765000
MNG,2033,total,3645000
KOR,2033,total,52820000
KAZ,2033,total,20691000
KGZ,2033,total,7180000
TJK,2033,total,11689000
TKM,2033,total,6953000
UZB,2033,total,37541000
AFG,2033,total,49242000
BGD,2033,total,189355000
BTN,2033,total,931000
IND,2033,total,1545203000
IRN,2033,total,89868000
MDV,2033,total,522000
